,Symbol,currentPrice,averageDailyVolume10Day,marketCap,marketCapLabel,priceRangeLabel
0,BRK.A,,,,mid/large,almost in
1,BRK.B,,,,mid/large,almost in
2,TSM,238.99,13896980.0,1239526408192.0,mid/large,out
3,WMT,95.685,13089620.0,763606466560.0,mid/large,in
4,JPM,296.615,9399600.0,815613935616.0,mid/large,out
5,LLY,797.655,3153550.0,716083625984.0,mid/large,out
6,V,355.2575,5653740.0,693995569152.0,mid/large,out
7,ORCL,241.44,11324430.0,678163906560.0,mid/large,out
8,MA,561.8,2513350.0,510160437248.0,mid/large,out
9,XOM,109.85,14907220.0,473413976064.0,mid/large,almost in
10,PG,157.9661,9330990.0,370357796864.0,mid/large,out
11,JNJ,168.65,9856590.0,405783707648.0,mid/large,out
12,HD,376.435,3385060.0,374525722624.0,mid/large,out
13,NVO,70.0,7148900.0,309286600704.0,mid/large,in
14,SAP,290.85,1129050.0,340178173952.0,mid/large,out
15,ABBV,190.12,5320970.0,335827959808.0,mid/large,out
16,BAC,48.145,44665180.0,358038962176.0,mid/large,in
17,KO,68.975,17656510.0,296886992896.0,mid/large,in
18,UNH,291.38,12472570.0,264322449408.0,mid/large,out
19,PM,164.89,6431510.0,256654573568.0,mid/large,out
20,BABA,122.475,18218590.0,292221648896.0,mid/large,out
21,GE,263.16,8256140.0,279065395200.0,mid/large,out
22,IBM,281.9354,3446630.0,262029901824.0,mid/large,out
23,CRM,266.66,6194580.0,254926962688.0,mid/large,out
24,CVX,152.915,15052000.0,310911336448.0,mid/large,out
25,WFC,83.655,22777850.0,269400047616.0,mid/large,in
26,ABT,125.49,9852990.0,218332512256.0,mid/large,out
27,TM,192.71,363070.0,251166670848.0,mid/large,out
28,NVS,118.14,2281220.0,228701323264.0,mid/large,almost in
29,MCD,297.51,3693110.0,212729479168.0,mid/large,out
30,DIS,122.68,7268910.0,220547973120.0,mid/large,out
31,MS,142.29,6186450.0,227379412992.0,mid/large,out
32,NOW,958.55,1409210.0,198565543936.0,mid/large,out
33,AXP,309.18,2884640.0,215152787456.0,mid/large,out
34,SHEL,72.81,4138702.0,213218263040.0,mid/large,in
